timestamp,node,socket,core,temperature,frequency,cpu_usage,cpu_power,memory_power,cpu_energy,memory_energy,hour,day,month,temperature_lag_1,temperature_lag_2,temperature_lag_3,frequency_lag_1,cpu_usage_lag_1,power_lag_1,energy_lag_1,temperature_roll3,frequency_roll3,cpu_usage_roll3,power_roll3,energy_roll3,temperature_diff,frequency_diff,cpu_usage_diff,power_diff,energy_diff,target_temperature
2026-07-17 15:45:01,gpu45,0,22,27.0,1415.98,0.0,53.6707,43.2723,156239.326965332,159054.98608398438,15,17,7,28.0,27.0,27.0,1415.98,0.0,53.6112,140182.46948242188,27.333333333333332,1415.9833333333333,0.0,53.634966666666664,140190.93253580728,-1.0,0.0,0.0,0.059499999999999886,16056.857482910127,28.0
2026-07-17 15:50:01,gpu45,0,22,28.0,1415.98,0.0,54.0394,42.5871,172304.12274169922,171918.04559326172,15,17,7,27.0,28.0,27.0,1415.98,0.0,53.6707,156239.326965332,27.666666666666668,1415.98,0.0,53.77376666666667,156241.97306315103,1.0,0.0,0.0,0.368700000000004,16064.795776367217,28.0
2026-07-17 15:55:01,gpu45,0,22,28.0,1415.98,0.0,53.8215,43.1156,188326.4022216797,184798.50677490237,15,17,7,28.0,27.0,28.0,1415.98,0.0,54.0394,172304.12274169922,27.666666666666668,1415.98,0.0,53.84386666666666,172289.95064290363,0.0,0.0,0.0,-0.2179000000000002,16022.279479980469,27.0
2026-07-17 16:00:01,gpu45,0,22,27.0,1415.97,0.0,53.5288,43.8254,204368.29034423828,197720.21087646484,16,17,7,28.0,28.0,27.0,1415.98,0.0,53.8215,188326.4022216797,27.666666666666668,1415.9766666666667,0.0,53.79656666666667,188332.9384358724,-1.0,-0.009999999999990905,0.0,-0.2927000000000035,16041.888122558594,26.0
2026-07-17 16:05:01,gpu45,0,22,26.0,1415.97,0.0,53.7695,42.7435,220416.45294189453,210557.03338623047,16,17,7,27.0,28.0,28.0,1415.97,0.0,53.5288,204368.29034423828,27.0,1415.9733333333334,0.0,53.7066,204370.3818359375,-1.0,0.0,0.0,0.2407000000000039,16048.16259765625,28.0
2026-07-17 16:10:01,gpu45,0,22,28.0,1415.97,0.0,53.577,42.3289,236469.14166259769,223341.0565185547,16,17,7,26.0,27.0,28.0,1415.97,0.0,53.7695,220416.45294189453,27.0,1415.97,0.0,53.625099999999996,220417.9616495768,2.0,0.0,0.0,-0.19250000000000256,16052.688720703154,27.0
2026-07-17 16:15:01,gpu45,0,22,27.0,1415.97,0.0,53.3573,43.5535,252493.4948120117,236178.72290039065,16,17,7,28.0,26.0,27.0,1415.97,0.0,53.577,236469.14166259769,27.0,1415.97,0.0,53.567933333333336,236459.69647216797,-1.0,0.0,0.0,-0.219699999999996,16024.353149414004,28.0
2026-07-17 12:55:02,gpu45,0,23,29.0,1418.78,0.0,53.5601,42.7814,135987.2078857422,245298.2134399414,12,17,7,30.0,29.0,30.0,1418.78,0.0,53.2219,119981.20532226562,29.333333333333332,1418.78,0.0,53.4486,119979.55798339844,-1.0,0.0,0.0,0.3382000000000005,16006.002563476562,29.0
2026-07-17 13:00:02,gpu45,0,23,29.0,1418.77,0.0,53.4194,42.0674,151974.61981201172,258162.90252685547,13,17,7,29.0,30.0,29.0,1418.78,0.0,53.5601,135987.2078857422,29.333333333333332,1418.7766666666666,0.0,53.40046666666667,135981.0110066732,0.0,-0.009999999999990905,0.0,-0.14069999999999538,15987.411926269531,30.0
2026-07-17 13:05:02,gpu45,0,23,30.0,1418.77,0.0,53.2892,43.6113,167975.55291748047,8876.58874511719,13,17,7,29.0,29.0,30.0,1418.77,0.0,53.4194,151974.61981201172,29.333333333333332,1418.7733333333333,0.0,53.4229,151979.12687174478,1.0,0.0,0.0,-0.1302000000000021,16000.93310546875,29.0
